gene_symbol,RED,pvalue,p_adj,padj,APAreg
A2M,-0.908624588389102,0.0217234867599951,0.999981980224256,0.30953610646784,NC
AACS,-0.177956491529546,0.731246227866717,0.999981980224256,0.963446409015325,NC
AADAT,-0.33397928733541,0.241263456559822,0.999981980224256,0.852976944839295,NC
AAED1,-0.13963797853289,0.756086889240359,0.999981980224256,0.975468780418127,NC
AAK1,-0.0763021570499987,0.699628905170759,0.999981980224256,0.942968791813614,NC
AARS,-0.263160964298555,0.45345924629168,0.999981980224256,0.705625693782644,NC
AARS2,0.0216028315238199,0.940391164465095,0.999981980224256,0.99889053701116,NC
AASDHPPT,-0.554485745374549,0.0352031450541776,0.999981980224256,0.414331243409891,NC
AATK,0.252601600247493,0.41489583015386,0.999981980224256,0.708204320848258,NC
ABAT,0.214851707590751,0.366374891881591,0.999981980224256,0.912514304317968,NC
ABCA5,-0.0865547876487911,0.850063014515088,0.999981980224256,0.961405836326366,NC
ABCB7,1.2675030792303,0.119440221149258,0.999981980224256,0.118298284243438,NC
ABCC1,-0.425289184859538,0.23847449677948,0.999981980224256,0.74679991632922,NC
ABCC12,1.16454019112273,0.183774351384293,0.999981980224256,0.488866220799971,NC
ABCC5,-0.0260983850238201,0.960797615199039,0.999981980224256,0.995513233299521,NC
ABCD2,-0.729624984020182,0.141788519523825,0.999981980224256,0.80036875293546,NC
ABCD3,-0.164371398197542,0.786049409600886,0.999981980224256,1,NC
ABCD4,-0.574397062696952,0.376061308221881,0.999981980224256,0.705586756235987,NC
ABCE1,0.366800089054054,0.45845313832081,0.999981980224256,0.942968791813614,NC
ABCF3,0.0219281537636393,0.96397372615531,0.999981980224256,1,NC
ABCG1,0.0937857482739073,0.852248973425689,0.999981980224256,0.986447934491978,NC
ABCG4,0.225813586462237,0.810360550012659,0.999981980224256,0.988597540348459,NC
ABHD10,-0.985136582336377,0.257257086159267,0.999981980224256,0.703203368055658,NC
ABHD11,-0.349886513881823,0.707930498295116,0.999981980224256,0.962582913540775,NC
ABHD12,0.0297823215754142,0.888351715568957,0.999981980224256,0.98474527349897,NC
ABHD13,0.133897033039496,0.57150691471109,0.999981980224256,0.951270382234305,NC
ABHD14B,-0.178303489150833,0.599754091002007,0.999981980224256,0.917583131167885,NC
ABHD17A,0.411118181079211,0.633132696258102,0.999981980224256,0.941978580690478,NC
ABHD17C,1.31578142762953,0.171184005390432,0.999981980224256,0.598910940637377,NC
ABHD18,-0.0592668936225094,0.897822203937057,0.999981980224256,0.967459115744681,NC
ABHD2,-0.0144083212714001,0.974497326292978,0.999981980224256,1,NC
ABHD6,-0.125758431528524,0.724733578062862,0.999981980224256,0.952031464721209,NC
ABI2,0.349442069090047,0.25979190843451,0.999981980224256,0.694139164773163,NC
ABL1,-0.81689360023146,0.147771254742836,0.999981980224256,0.670012335893014,NC
ABLIM1,-0.0115659872264586,0.974011725102982,0.999981980224256,0.994030943595148,NC
ABLIM2,-0.048073540304392,0.841318169194094,0.999981980224256,0.973615382504177,NC
ABRAXAS2,0.144438865386472,0.776172034373144,0.999981980224256,0.973352035805119,NC
ABTB1,0.672493335138854,0.325980941700673,0.999981980224256,0.630670859161699,NC
ACAA1,0.604188388104289,0.340767331331524,0.999981980224256,0.792895650771516,NC
ACACA,-0.0439397639619012,0.760171957390599,0.999981980224256,0.973517655184783,NC
ACAD11,-0.393128663517106,0.4659339568584,0.999981980224256,0.779766438970562,NC
ACAD8,0.0840492015794282,0.782104706802724,0.999981980224256,0.973517655184783,NC
ACADM,0.680243714864529,0.192268943371258,0.999981980224256,0.617326237639808,NC
ACADSB,0.0646875011119614,0.892287248329466,0.999981980224256,0.967300766752364,NC
ACAP2,0.366176677477521,0.214135188402517,0.999981980224256,0.734151296559776,NC
ACBD6,0.166791558436335,0.829121720100803,0.999981980224256,0.982572221049544,NC
ACCS,0.0705477154688151,0.920151719684809,0.999981980224256,1,NC
ACD,-0.0313295975832705,0.942424227602559,0.999981980224256,0.986817487105631,NC
ACER2,0.39921827767719,0.431412477716078,0.999981980224256,0.920339463059787,NC
ACIN1,0.212598500151834,0.709101482120946,0.999981980224256,0.867797138578147,NC
ACLY,-0.248029915397507,0.668872744339489,0.999981980224256,0.921963849582825,NC
ACO1,0.0387449967984651,0.931666698891199,0.999981980224256,0.997657605265166,NC
ACOT7,-0.241572963156363,0.55469723649312,0.999981980224256,0.824525975278553,NC
ACOT8,-0.911701228006064,0.251972851717387,0.999981980224256,0.685399497132625,NC
ACOT9,0.39743790921756,0.440956820483935,0.999981980224256,0.81794038510164,NC
ACOX1,0.518212687664603,0.169417236185936,0.999981980224256,0.708204320848258,NC
