gene_symbol,RED,pvalue,p_adj,padj,APAreg,APAreg2,gene_label
A4GALT,1.46704343881412,0.000547242563786075,0.0587330737584953,1.41120528519538e-42,UP,distal,no
AACS,0.552679473773327,0.243526528439211,0.5863185472562,0.64293810418042,NC,NC,no
AADAT,-0.118788014115656,0.609324991844905,0.839907150826486,0.837898052161161,NC,NC,no
AAED1,-0.237144254444932,0.653175930856072,0.863386468305088,0.955908289976817,NC,NC,no
AAGAB,0.115434012659499,0.574295547528347,0.822495240395863,0.761479175059646,NC,NC,no
AAK1,0.30663123175272,0.000213839182895169,0.0395009959477457,3.89716412443642e-12,UP,distal,no
AAMP,-0.518984885591667,0.367895412872844,0.690108287054303,0.729924149667639,NC,NC,no
AAR2,0.708892578151273,0.0049330559059043,0.139404899374824,0.0643284580696595,UP,NC,no
AARS,0.079283787996425,0.319030791652903,0.653086726050511,0.810018425767544,NC,NC,no
AARS2,0.105057140860185,0.783359249861566,0.91980448877514,0.937166745406094,NC,NC,no
AASDHPPT,0.142989732742047,0.377318421358541,0.698536978135685,0.691655228181758,NC,NC,no
AATK,0.80129097633067,0.21282075858852,0.552886314594257,0.468426289855702,NC,NC,no
ABAT,0.209762074861249,0.49475802327982,0.772296527209209,0.770533797306423,NC,NC,no
ABCA3,-0.0557122817316313,0.478585102292097,0.760604632063595,0.867695185168973,NC,NC,no
ABCA5,0.191378327873322,0.588062031453845,0.832056886713845,0.708997900547719,NC,NC,no
ABCB7,0.854343791128914,0.00670145231080684,0.151692618600851,0.0299394179995982,UP,distal,no
ABCC1,0.0717824086319189,0.64326362111362,0.857269519601971,0.904303963709575,NC,NC,no
ABCC4,0.045104569711376,0.940164378853783,0.979568327085155,0.997345455574732,NC,NC,no
ABCC5,-0.215503026097727,0.165780653675268,0.504751152251513,0.574590616450184,NC,NC,no
ABCC9,0.727217876132663,0.194895286537236,0.536588087509921,0.409033987918002,NC,NC,no
ABCD2,0.058793051224913,0.887861788849016,0.961835445554902,0.948581292611838,NC,NC,no
ABCD3,-0.0827999105567199,0.143036242231246,0.476675341584373,0.788520208085451,NC,NC,no
ABCD4,0.356266463644364,0.237457640836004,0.580630810441378,0.781105966735183,NC,NC,no
ABCE1,-0.331336976448862,0.236465651180234,0.580009154375314,0.456567244017164,NC,NC,no
ABCF1,0.052928265652594,0.777192730183619,0.916665638979681,0.930274861186779,NC,NC,no
ABCF3,1.09945676464102,0.00239450907713036,0.10365004685608,9.00388725134152e-08,UP,distal,no
ABCG1,0.417044801276572,0.287279035091634,0.627040038085098,0.43598551451275,NC,NC,no
ABCG4,0.501800865709557,0.039673695740132,0.294333124941189,0.248250630425301,NC,NC,no
ABHD10,0.128968761696826,0.323949622452747,0.656814933375709,0.611743419515027,NC,NC,no
ABHD11,1.9764484821454,0.0147961401333551,0.20522370350763,3.12002561865641e-05,UP,distal,no
ABHD12,0.102793148017423,0.236762363008514,0.580009154375314,0.572658256909261,NC,NC,no
ABHD13,0.353231167646622,0.046824851502149,0.315932513363611,0.0023567340154259,UP,distal,no
ABHD17A,0.484659389902643,0.00843727592017127,0.165142007313443,1.21837030003122e-06,UP,distal,no
ABHD17C,0.240452719261678,0.0777661085007762,0.382885947691452,0.268412696038213,NC,NC,no
ABHD18,0.281075140912001,0.317199336523067,0.651596781463011,0.513170356181474,NC,NC,no
ABHD2,0.259394073597161,0.0394816709048345,0.29383155289995,0.155495482746911,NC,NC,no
ABHD6,0.30646136849278,0.440331146353393,0.743162803282799,0.706308117772928,NC,NC,no
ABHD8,0.65871700873569,0.0753384567417892,0.378294093561713,0.0541451512362359,UP,NC,no
ABI2,0.12784159104711,0.19210511559094,0.53208160436349,0.54463650429316,NC,NC,no
ABL1,0.223632909776437,0.13708680210093,0.472862703449411,0.308068970463255,NC,NC,no
ABL2,0.0498881517056586,0.786829755699523,0.921710155710037,0.947149829019766,NC,NC,no
ABLIM1,0.0621512790151977,0.284104124141013,0.623954655777768,0.670375855005419,NC,NC,no
ABLIM2,-0.210401763004892,0.357889197893466,0.682175132385043,0.5972437612919,NC,NC,no
ABRACL,-0.0382581905253878,0.856659170891329,0.949793775608963,0.957637131663965,NC,NC,no
ABRAXAS2,-0.042405687019039,0.886149792318061,0.961171353119023,0.961754015016215,NC,NC,no
ABT1,0.178206592173861,0.418838367411599,0.727499346190532,0.690019187668671,NC,NC,no
ABTB1,1.37648041722865,0.017285808352964,0.220666580505856,0.0304730303256369,UP,distal,no
ACAA1,0.780163708668737,0.00220088554210467,0.10365004685608,6.39198347362652e-06,UP,distal,no
ACACA,0.00301143640730167,0.991659899774833,0.99672441337845,0.982604605827088,NC,NC,no
ACACB,0.439173664454859,0.661970746903674,0.868530137372691,0.925011599914073,NC,NC,no
ACAD10,0.131045356266021,0.738988813477613,0.901363838984251,0.940191310766208,NC,NC,no
ACAD11,0.382179032336853,0.385385190682755,0.704085524981365,0.633738592166292,NC,NC,no
ACAD8,0.100744978308347,0.165963017854407,0.504872469514159,0.899158667237927,NC,NC,no
ACADM,-0.11555112775156,0.491823015433324,0.770534784955144,0.858568656271672,NC,NC,no
ACADSB,-0.0249786188787366,0.972014800085739,0.9899567483994,1,NC,NC,no
ACAP2,-0.0221523486915967,0.867026728251241,0.954270400527291,0.994919316794956,NC,NC,no
ACBD3,0.202599729631685,0.696449115756173,0.88345688574165,0.887891840779716,NC,NC,no
ACBD6,0.71209405253822,0.462146719166936,0.752937136366512,0.844702288913841,NC,NC,no
ACER3,0.0623613580637401,0.652025123099878,0.862992340213457,0.919214226055807,NC,NC,no
ACIN1,-0.277608640516402,0.428503148233891,0.734111163868937,0.624602731665084,NC,NC,no
ACLY,0.0142625111753243,0.855821559919076,0.949793775608963,0.963368560165352,NC,NC,no
ACO1,0.0241197316070639,0.87419540852202,0.957554859629933,0.976390394740152,NC,NC,no
ACOT7,-0.201912936170927,0.143685072706493,0.477846539027964,0.4910866743441,NC,NC,no
ACOT8,0.795935664581803,0.0237121187670711,0.245614563544881,0.00295116257925758,UP,distal,no
ACOT9,0.182582242735374,0.41354226408701,0.724159623388969,0.695349226301534,NC,NC,no
ACOX1,-0.432673996562097,0.138490679900029,0.474059406349206,0.196690254701382,NC,NC,no
ACOX3,0.418290532473473,0.0935416419052416,0.408836030271783,0.098307987550989,UP,NC,no
ACSF3,1.82148479901231,0.000952746471755167,0.076600672373878,1.87488137869967e-10,UP,distal,no
ACSL1,-0.220085693145643,0.0958797585056342,0.411293976439451,0.38181430652554,NC,NC,no
ACSL3,-0.0299348206341965,0.582000245000708,0.827116735329909,0.966400117665722,NC,NC,no
ACSL4,0.23881472887687,0.183529782136935,0.522565134695707,0.356924424374249,NC,NC,no
ACSL5,1.63676893611677,0.05951979844344,0.343032417546389,0.149410949755539,NC,NC,no
ACSL6,0.452436722606175,0.156460418800186,0.49731811000418,0.180693005460821,NC,NC,no
ACSM3,-0.827440927067477,0.245307215122153,0.588156216291186,0.393102847485382,NC,NC,no
ACSS3,-0.192207268795734,0.545596699687466,0.801483022451937,0.949788775843617,NC,NC,no
ACTA2,0.254284748224195,0.448423258048441,0.746892081342494,0.749644614623815,NC,NC,no
ACTB,0.0169396377067232,0.742402221003439,0.902664735032528,0.925569327586408,NC,NC,no
ACTN1,0.292644726436913,0.478467469465845,0.760588292834982,0.689250053982843,NC,NC,no
ACTN2,0.683403815317921,0.349305409627898,0.675425524563602,0.568317519758042,NC,NC,no
ACTR10,0.231858589973713,0.104188906440388,0.428383874208046,0.297201383561927,NC,NC,no
ACTR2,0.0421794647848951,0.752655204849999,0.907206894583573,0.913994811205898,NC,NC,no
ACTR3,-0.182603201652071,0.260183486150801,0.602376067461572,0.471060556350912,NC,NC,no
ACTR3B,0.0993964898012486,0.762861477684787,0.912494413957184,0.944190585645082,NC,NC,no
ACTR6,0.0906013226740896,0.798391081808286,0.9257570781302,0.931278295474052,NC,NC,no
ACTRT3,0.374400095834669,0.527019335834759,0.792810539221031,0.878897641285656,NC,NC,no
ACVR1B,-0.0114815540291673,0.832231828204301,0.938761742211029,0.963092837850827,NC,NC,no
ACVR1C,0.263804459396195,0.634539259114789,0.851782995609754,0.961597069030071,NC,NC,no
ACVR2B,0.0393246479815965,0.611100932250549,0.840734529716913,0.871008092672851,NC,NC,no
ACYP1,0.453525836350803,0.140217364545896,0.474875730309595,0.389524730805159,NC,NC,no
ACYP2,0.120919009876666,0.877072188875489,0.958072226053475,0.958217981858821,NC,NC,no
ADAM10,0.37301268090912,0.0589173969100837,0.342702935155682,0.0164465915667555,UP,distal,no
ADAM11,0.208251164006781,0.0435043939481047,0.307054526459914,0.0968102380858441,UP,NC,no
ADAM12,0.00939724754276605,0.964416411866157,0.987982978321533,0.989226158781072,NC,NC,no
ADAM23,0.299710627717584,0.185288880670893,0.523642488852524,0.386090598248806,NC,NC,no
ADAM7,0.429835539064997,0.596271514406259,0.836356862081631,0.754967232586631,NC,NC,no
ADAM9,0.0499507534184645,0.742953043261304,0.902664735032528,0.949869352973467,NC,NC,no
ADAMTS12,-0.161808942390081,0.861425777368709,0.952102176389264,0.967881538874911,NC,NC,no
ADAMTS16,0.240244352415545,0.589543974050725,0.832056886713845,0.822553428538831,NC,NC,no
ADAMTS2,0.317205926157547,0.492519998938351,0.770820453385955,0.828138095908844,NC,NC,no
ADAMTS4,1.50680741617548,0.275226201670441,0.617863637146728,0.456567244017164,NC,NC,no
ADAMTS5,0.249855987799219,0.336843167008565,0.665885557549018,0.724605912645489,NC,NC,no
ADARB1,0.0354230214836487,0.856897308421645,0.949793775608963,0.968089913101203,NC,NC,no
ADAT1,-0.0160508107345094,0.989147827169803,0.995419576281707,0.938649820419537,NC,NC,no
ADAT2,0.566806175963398,0.0821950406782052,0.388711283066959,0.37681734392432,NC,NC,no
ADCY1,0.188925256123937,0.0571685641021642,0.33874921743901,0.0556027898537262,UP,NC,no
ADCY2,0.0566598429474871,0.875517343780198,0.957554859629933,0.968103229483646,NC,NC,no
ADCY6,0.427788072124762,0.175191033145474,0.51226928181415,0.254023334150683,NC,NC,no
ADCY9,-0.21986416539056,0.122231459587213,0.45660998216011,0.463649794212754,NC,NC,no
