Sample,replicate,target,normalized_ratio
Control,1,TDP-43,1.216923687
Control,2,TDP-43,0.871849003
Control,3,TDP-43,0.91122731
TDP-43 KD,1,TDP-43,0.223833082
TDP-43 KD,2,TDP-43,0.222856847
TDP-43 KD,3,TDP-43,0.179273816
Control,1,Dimer,1.030624211
Control,2,Dimer,1.043110862
Control,3,Dimer,0.926264926
TDP-43 KD,1,Dimer,0.77371098
TDP-43 KD,2,Dimer,0.764476466
TDP-43 KD,3,Dimer,0.880122864
Control,1,Monomer,1.116677694
Control,2,Monomer,0.949308536
Control,3,Monomer,0.93401377
TDP-43 KD,1,Monomer,0.808911799
TDP-43 KD,2,Monomer,1.00476871
TDP-43 KD,3,Monomer,1.122318659
