Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,APA_sig,RNA_change
ADD1,2185.09481509833,-0.0407985734575073,0.0775620887289625,0.579442548759595,0.785658037988965,distal,NC
APEX2,69.2108401552547,0.0153144543503176,0.179832409954607,0.906280640928268,0.960588161388154,proximal,NC
BAP1,518.30186468636,-0.0651337026347097,0.110262003323332,0.535232201276752,0.756614596074925,distal,NC
BCL2,285.40792887871,-0.0659060818468138,0.152684638547081,0.586781347024383,0.791266366330072,distal,NC
BICC1,382.886589502788,0.421134920654954,0.190725721405795,0.00493131029200311,0.0313300134307205,distal,Increased
BNIP3,362.154205091123,-0.125028042905073,0.103952399525916,0.191613895400058,0.4261993065881,distal,NC
C3orf14,776.901762898396,-0.363641013398163,0.0973967731140149,6.35822522649119e-05,0.000884924358595563,distal,Decreased
CACNA2D2,690.376209241422,-1.19321104304837,0.232985064544973,7.53437388331185e-09,3.07609218961493e-07,distal,Decreased
CAPZA2,263.237338047077,-0.16646431453458,0.159927691974782,0.192721613897097,0.427694321811639,distal,NC
CFAP97,309.430152606767,-0.0574797806486587,0.133196470955824,0.611873108630131,0.807198986113026,distal,NC
CMTM6,72.9658039306141,-0.459481412126627,0.30284213720098,0.015693111535697,0.0754606572815912,distal,Decreased
COX11,440.617475180628,0.0331209167983133,0.0948569480795586,0.684396098812119,0.85373290490494,distal,NC
COX7B,115.828980221425,0.300205330844219,0.237137127000765,0.0569325721686564,0.192183108595092,proximal,NC
CTBP2,680.626000342833,-0.0247302583852721,0.0995148865443496,0.777464024152048,0.901768265684125,distal,NC
CTTNBP2,4584.26074299389,0.0333252578523904,0.105648353376538,0.768745152246848,0.897272945011804,proximal,NC
CUL2,720.678227625664,0.021891189780069,0.0864370559826292,0.784187000138757,0.90576781018262,distal,NC
CYBB,93.0015131278231,-0.104663931534099,0.215578922236341,0.408713101401772,0.653143022197934,distal,NC
DEPDC5,1125.62617673975,0.603945377333413,0.133236711554776,7.05176200781008e-07,1.81022878835784e-05,distal,Increased
DHDDS,1312.40857338343,0.108625688414469,0.0956008425659869,0.215336477641311,0.457438387840135,distal,NC
DIABLO,358.799154521904,0.0797179252633682,0.13663759452298,0.48829788241633,0.718614644401371,distal,NC
DLG5,2078.19980849223,1.1037119389797,0.165252714365865,8.29983668090653e-13,8.44519133366023e-11,distal,Increased
DNAJB11,257.071428560747,0.128951874426246,0.142201712571274,0.277869741545626,0.528191924264698,distal,NC
DPH5,129.749929434526,-0.286843405921561,0.191725891873579,0.0471070029213058,0.168136554592621,distal,NC
DPM1,291.892570522869,0.111257270990011,0.151438775166228,0.362691601921902,0.613747322580121,proximal,NC
DUS4L,178.489656599341,-0.0976234396631206,0.144670118610453,0.413587038411348,0.657121542097254,distal,NC
DYRK1B,166.460910313598,-0.175282420496281,0.164979367389308,0.175019982106148,0.403645614633063,distal,NC
EID1,1342.86712271084,0.101027656398339,0.103470031685816,0.28725777227237,0.538999439316339,proximal,NC
EMILIN3,18.7607775406865,0.0621639380568338,0.255581725692067,0.347942253295215,0.59995785305928,proximal,NC
EML4,1139.07066883067,0.0461765977348449,0.0867281298386554,0.569322217191258,0.77906415589171,distal,NC
FOCAD,2812.22116718452,-0.158495954861273,0.0991977076054139,0.0817455488516836,0.244080749330905,distal,NC
GNG8,69.1070578914485,3.86246277952745,0.442633870933464,5.73536721552445e-21,2.68169384234451e-18,proximal,Increased
GNPAT,490.091362737835,0.1439500055925,0.103576942894357,0.129480850919688,0.334483681973275,distal,NC
GPBP1L1,952.041279381814,-0.0487509772854769,0.101422493304604,0.607249676330072,0.804554610559536,proximal,NC
GPR155,2360.71127240455,-0.51358472217315,0.0816896341405334,6.13790929081588e-11,4.17080493609143e-09,distal,Decreased
GPR173,451.893808791807,0.767941713663562,0.164037918255106,2.3049187430387e-07,6.60788237602832e-06,distal,Increased
