gene_symbol,RED,pvalue,p_adj,padj,APAreg
A2M,-0.285500158568718,0.240933924460431,0.999398823098356,1,NC
A4GALT,0.318022746030287,0.359200210201497,0.999398823098356,1,NC
AADAT,0.113504665048664,0.532107713624167,0.999398823098356,1,NC
AAED1,-0.337737288687497,0.148908425522609,0.999398823098356,1,NC
AAGAB,-0.156800977522638,0.21676706362587,0.999398823098356,1,NC
AAK1,-0.135684953152017,0.116373300586482,0.999398823098356,1,NC
AAR2,-0.0815770559154716,0.802863745845876,0.999398823098356,1,NC
AARS,-0.0317216554322004,0.790538330995081,0.999398823098356,1,NC
AARS2,0.167718352211725,0.50082543693005,0.999398823098356,1,NC
AASDHPPT,0.0337766591716159,0.83633574929283,0.999398823098356,1,NC
ABAT,-0.366166936879477,0.00646493154267845,0.994199803515901,1,NC
ABCA3,-0.0904223922265186,0.439074674138874,0.999398823098356,1,NC
ABCA5,0.27399265924442,0.537378839221925,0.999398823098356,1,NC
ABCB7,-0.545676756451493,0.0386972370336502,0.999398823098356,1,NC
ABCC1,0.0433755097810474,0.554608114221128,0.999398823098356,1,NC
ABCC4,0.0954567699068736,0.540613261495515,0.999398823098356,1,NC
ABCC5,0.400517736814107,0.0889640509830201,0.999398823098356,1,NC
ABCD3,0.00702027486558714,0.972431561461775,0.999398823098356,1,NC
ABCE1,0.00786641979168423,0.890140432874845,0.999398823098356,1,NC
ABCF1,-0.0163822012722123,0.917095915962392,0.999398823098356,1,NC
ABCF3,0.154299682411842,0.458134167366892,0.999398823098356,1,NC
ABCG1,0.0142253425780533,0.943351536833944,0.999398823098356,1,NC
ABCG4,-0.0410370546541345,0.770741875407769,0.999398823098356,1,NC
ABHD10,-0.383898653683451,0.143470160375699,0.999398823098356,1,NC
ABHD12,-0.129701813440593,0.274243333374591,0.999398823098356,1,NC
ABHD13,-0.135305950189556,0.329596853480306,0.999398823098356,1,NC
ABHD14B,0.0814640527377953,0.833073988574867,0.999398823098356,1,NC
ABHD15,-0.0416973712468151,0.859773209949405,0.999398823098356,1,NC
ABHD17A,-0.305286270654092,0.29853219197004,0.999398823098356,1,NC
ABHD17C,-0.113741197204775,0.493917697734572,0.999398823098356,1,NC
ABHD18,0.0669998335055715,0.800975883505337,0.999398823098356,1,NC
ABHD2,0.0658647016883243,0.476345287993462,0.999398823098356,1,NC
ABHD4,0.339416765385795,0.357140064620894,0.999398823098356,1,NC
ABHD6,0.0761103065926193,0.79059276053441,0.999398823098356,1,NC
ABHD8,-0.254573096219713,0.412057737262605,0.999398823098356,1,NC
ABI2,-0.186269687197649,0.0774077312367107,0.999398823098356,1,NC
ABL1,0.503183645872777,0.161714373726537,0.999398823098356,1,NC
