gene_symbol,RED,pvalue,p_adj,padj,APAreg
A2M,0.465621317174525,0.222913949630517,0.992501359175853,1,NC
AADAT,-0.36330401932218,0.320509902385217,0.992501359175853,1,NC
AAED1,-0.620679639169499,0.44246678638128,0.992501359175853,1,NC
AAGAB,0.234149072425265,0.15287768809695,0.992501359175853,1,NC
AAK1,0.0397318213249633,0.761151695967204,0.992501359175853,1,NC
AAR2,0.164879991380924,0.807263043727959,0.992501359175853,1,NC
AARS,0.15384611185908,0.430890266677142,0.992501359175853,1,NC
AARS2,-0.2111252039891,0.679610804403712,0.992501359175853,1,NC
AASDHPPT,-0.0873790861600447,0.567230677941282,0.992501359175853,1,NC
ABAT,0.00890461543952886,0.931597315407015,0.996652784809411,1,NC
ABCA3,0.00419865271592146,0.975722711703,0.998704752106707,1,NC
ABCA5,-0.36523967587931,0.0214939164517389,0.992501359175853,1,NC
ABCB7,-1.37145484762536,0.0356471374461565,0.992501359175853,0.595917821941915,NC
ABCC1,-0.085355309981312,0.601697723041505,0.992501359175853,1,NC
ABCC4,-0.371572103081296,0.433409571226968,0.992501359175853,1,NC
ABCC5,-0.31972736415679,0.105516213658091,0.992501359175853,1,NC
ABCD3,-0.0649395878254771,0.683260638434852,0.992501359175853,1,NC
ABCE1,0.093990510180713,0.569119964834873,0.992501359175853,1,NC
ABCF1,0.195259855013672,0.423119207445755,0.992501359175853,1,NC
ABCF3,0.0923840974002632,0.76285460060055,0.992501359175853,1,NC
ABCG1,0.020195554028893,0.915635373933528,0.99422303790984,1,NC
ABCG4,-0.0886496295865661,0.61645908857907,0.992501359175853,1,NC
ABHD10,-0.0565639291842129,0.669568990699628,0.992501359175853,1,NC
ABHD11,-0.15352609439634,0.822667922872372,0.992501359175853,1,NC
ABHD12,0.0788364786172067,0.535304942691694,0.992501359175853,1,NC
ABHD13,0.0825807952454767,0.606647498074812,0.992501359175853,1,NC
ABHD17A,-0.24644304771994,0.247268799281855,0.992501359175853,1,NC
ABHD17C,0.0394812670603999,0.735112535589115,0.992501359175853,1,NC
ABHD18,-0.24359735824032,0.16830668082208,0.992501359175853,1,NC
ABHD2,-0.108592010398641,0.467918735602626,0.992501359175853,1,NC
ABHD4,0.69774723452875,0.369417869679587,0.992501359175853,1,NC
ABHD6,0.322766920819244,0.288193673710203,0.992501359175853,1,NC
ABI2,-0.153320552028263,0.40411816834136,0.992501359175853,1,NC
ABL1,0.107270266002173,0.778923722693485,0.992501359175853,1,NC
ABL2,0.12247174547083,0.696264969692735,0.992501359175853,1,NC
ABLIM1,0.00793701670984907,0.842417125097924,0.992501359175853,1,NC
ABLIM2,-0.0597672917464697,0.718130517275672,0.992501359175853,1,NC
ABRACL,0.043122532155808,0.86306586596719,0.992501359175853,1,NC
ABRAXAS2,-0.0163994722138009,0.877436810118537,0.992501359175853,1,NC
ABT1,0.194913286275361,0.644073496650966,0.992501359175853,1,NC
ABTB1,-0.595548760999376,0.195157027205534,0.992501359175853,1,NC
ACAA1,-0.245639938607869,0.657104045246853,0.992501359175853,1,NC
ACACA,-0.154625127726615,0.40052379753879,0.992501359175853,1,NC
ACAD11,-0.225523413578858,0.6641819176302,0.992501359175853,1,NC
ACAD8,0.149305255340783,0.600117309939088,0.992501359175853,1,NC
ACADSB,-0.0158449519218871,0.963520471301092,0.998704752106707,1,NC
ACAP2,-0.00656323280050569,0.968301095465229,0.998704752106707,1,NC
ACBD3,0.133050437883767,0.57587534690441,0.992501359175853,1,NC
ACER3,-0.0314739922901131,0.882191984939079,0.992501359175853,1,NC
ACIN1,0.147868883758097,0.537531295793351,0.992501359175853,1,NC
ACLY,-0.0626298694843865,0.819659815993161,0.992501359175853,1,NC
ACO1,0.272790584896769,0.638545862418656,0.992501359175853,1,NC
ACOT7,0.38368641355791,0.0587301424161969,0.992501359175853,1,NC
ACOT8,-0.215015310343433,0.102714661373838,0.992501359175853,1,NC
ACOT9,0.126934478253907,0.548329792935948,0.992501359175853,1,NC
ACOX1,0.238312234644388,0.554352223272162,0.992501359175853,1,NC
ACOX3,-0.153493340533692,0.43851455313649,0.992501359175853,1,NC
ACSF3,-0.0242256836443799,0.938712196554386,0.996652784809411,1,NC
ACSL1,0.408443239902346,0.0563250376905355,0.992501359175853,0.844410027080822,NC
ACSL3,0.161424909511679,0.561612845682257,0.992501359175853,1,NC
ACSL4,0.22112333964911,0.385193584267866,0.992501359175853,1,NC
ACSL6,0.0580858714391794,0.74465530965044,0.992501359175853,1,NC
ACSM3,-0.695243291341957,0.472662113818365,0.992501359175853,1,NC
ACTB,-0.0931376509547254,0.357822000299214,0.992501359175853,1,NC
ACTN1,-0.348410626324758,0.257564958511588,0.992501359175853,1,NC
ACTR10,0.0263933528963967,0.859502597705369,0.992501359175853,1,NC
ACTR2,0.0127735005789567,0.937689224164638,0.996652784809411,1,NC
ACTR3,0.0907401299426207,0.701086831145121,0.992501359175853,1,NC
ACTR3B,-0.0432673651492266,0.868877266080074,0.992501359175853,1,NC
ACVR1B,-0.0657904957316366,0.38187840454483,0.992501359175853,1,NC
ACVR1C,-0.135363149677459,0.810542044095884,0.992501359175853,1,NC
ACVR2B,-0.222380626007711,0.344365865653385,0.992501359175853,1,NC
ADAM10,-0.0283121640026764,0.866173395637772,0.992501359175853,1,NC
ADAM11,0.0884606683961457,0.595336189169727,0.992501359175853,1,NC
ADAM23,0.0759878557795087,0.148644168713369,0.992501359175853,1,NC
ADAM9,0.24793390046235,0.576734222859036,0.992501359175853,1,NC
ADAMTS12,0.255524018750509,0.655240711206812,0.992501359175853,1,NC
ADAMTS16,-0.356043273569758,0.595694260621072,0.992501359175853,1,NC
ADAMTS19,0.513681794730317,0.615329841008339,0.992501359175853,1,NC
ADAMTSL1,-0.267643452942296,0.726704112541185,0.992501359175853,1,NC
ADARB1,-0.251044519199988,0.144083275307949,0.992501359175853,1,NC
ADARB2,0.426054940088215,0.105866437011785,0.992501359175853,1,NC
ADAT1,0.27997733267933,0.374936030035012,0.992501359175853,1,NC
ADAT2,0.779042645841217,0.354604271001556,0.992501359175853,1,NC
ADCY1,-0.0196961461493263,0.859065060519369,0.992501359175853,1,NC
ADCY2,-0.027540763538189,0.83259121473391,0.992501359175853,1,NC
ADCY6,0.127053391954921,0.319769834871866,0.992501359175853,1,NC
ADCY9,-0.145201468510853,0.501542231454579,0.992501359175853,1,NC
ADCYAP1,-0.414725790242031,0.236137641535157,0.992501359175853,1,NC
ADCYAP1R1,0.163124038048478,0.0419026315714124,0.992501359175853,1,NC
ADD2,-0.0558751475814998,0.413139435650997,0.992501359175853,1,NC
ADD3,-0.391492240408115,0.311606795642831,0.992501359175853,1,NC
ADGRA1,-0.360792778781847,0.522709900939478,0.992501359175853,1,NC
ADGRL1,-0.00993570587059425,0.863776295148388,0.992501359175853,1,NC
ADGRL2,0.0619251560230809,0.701903308472804,0.992501359175853,1,NC
ADGRL3,-0.115051218670313,0.447002375420874,0.992501359175853,1,NC
ADIPOR1,0.176380010427924,0.279445891011976,0.992501359175853,1,NC
ADIPOR2,0.29210732666762,0.482348640758543,0.992501359175853,1,NC
ADK,0.12555245967121,0.835859351620495,0.992501359175853,1,NC
ADNP,0.0236582947697568,0.91354898982461,0.993298341178184,1,NC
ADNP2,-0.299502174187223,0.0390511281466395,0.992501359175853,1,NC
ADO,-0.0802643907106166,0.24166388877944,0.992501359175853,1,NC
ADORA2B,0.138842372473111,0.817828866643918,0.992501359175853,1,NC
ADPRHL1,0.208534828406167,0.811489164863477,0.992501359175853,1,NC
ADPRHL2,0.387789947082923,0.202142660293964,0.992501359175853,1,NC
ADPRM,0.134874236097749,0.868661579720949,0.992501359175853,1,NC
ADRA2A,-0.142601461738273,0.492481438817754,0.992501359175853,1,NC
ADSL,0.523560734084633,0.0479299122903566,0.992501359175853,1,NC
ADSS,0.253093700126143,0.456717388427006,0.992501359175853,1,NC
AEBP2,-0.35473591233966,0.28051000341583,0.992501359175853,1,NC
AEN,-0.0989082108606034,0.266340673266075,0.992501359175853,1,NC
AES,-0.0572704422740133,0.500082836733753,0.992501359175853,1,NC
AFAP1,-0.00595086721090998,0.925187430284882,0.995380545239319,1,NC
AFF1,1.6147550868181,0.12381046407863,0.992501359175853,0.729701454554606,NC
AFF2,-0.012640551039119,0.775819516253175,0.992501359175853,1,NC
AFF3,-0.058095144837943,0.278532912168526,0.992501359175853,1,NC
AFF4,-0.00556637489502343,0.965134671363944,0.998704752106707,1,NC
AFG1L,-0.0472348550339334,0.94348155748951,0.997385886896936,1,NC
AFG3L2,0.29575304991125,0.580942111403387,0.992501359175853,1,NC
AFTPH,0.0110736453118462,0.964283630615913,0.998704752106707,1,NC
AGA,-0.991334930489018,0.262663901268353,0.992501359175853,1,NC
AGAP1,-0.061451936331555,0.574333147702468,0.992501359175853,1,NC
AGFG1,0.0380016643082066,0.831566000256576,0.992501359175853,1,NC
AGFG2,0.0115112778947299,0.967979296121794,0.998704752106707,1,NC
AGGF1,-0.00611044377441161,0.969801207801816,0.998704752106707,1,NC
AGK,-0.256444886961033,0.521344959969568,0.992501359175853,1,NC
AGL,0.650608317699696,0.122213700412648,0.992501359175853,1,NC
AGO1,-0.191695033362445,0.654844884842228,0.992501359175853,1,NC
AGO3,-0.0572133248927377,0.68007698933351,0.992501359175853,1,NC
AGO4,0.467271957516523,0.435299521944457,0.992501359175853,1,NC
AGPAT1,0.0787498675269487,0.624846717526462,0.992501359175853,1,NC
AGPAT3,0.0213834227758817,0.889291709504262,0.992501359175853,1,NC
AGPAT4,0.50216906650545,0.266778443385758,0.992501359175853,1,NC
AGPAT5,0.109303413797005,0.546479392432269,0.992501359175853,1,NC
AGPS,-0.256006906783874,0.268802659353836,0.992501359175853,1,NC
AGRN,-0.00415027389257577,0.98568118149994,0.998704752106707,1,NC
AGTPBP1,-0.147428059973162,0.678050981837898,0.992501359175853,1,NC
AGTRAP,-1.67943645229916,0.256285877297938,0.992501359175853,1,NC
AHCTF1,-0.13094709491812,0.211201273084709,0.992501359175853,1,NC
AHCY,0.019461306114037,0.819781229021861,0.992501359175853,1,NC
AHCYL1,0.243217588144592,0.177898075962307,0.992501359175853,1,NC
AHCYL2,0.052504606508149,0.626094926405239,0.992501359175853,1,NC
AHDC1,0.52360169114495,0.233563081987897,0.992501359175853,1,NC
AHI1,-0.0771148678592154,0.394591553990076,0.992501359175853,1,NC
AHNAK2,-0.284774328359957,0.126752827154623,0.992501359175853,1,NC
AHR,-0.852989097396071,0.310359318730454,0.992501359175853,1,NC
AHSA1,0.0230397483450733,0.883007386123278,0.992501359175853,1,NC
AIF1L,-0.000875389447017594,0.997863690571444,0.998704752106707,1,NC
AIG1,-0.282522863317992,0.432433039914305,0.992501359175853,1,NC
AIMP1,0.269872657855392,0.797054945816783,0.992501359175853,1,NC
AJAP1,-0.25514440880262,0.262001137870163,0.992501359175853,1,NC
AK1,0.00287762121457003,0.974184855164264,0.998704752106707,1,NC
AK2,-0.229626318372149,0.343758009611135,0.992501359175853,1,NC
AK3,0.0618481837249694,0.834583450125186,0.992501359175853,1,NC
AKAP1,-0.0455026472335184,0.884172602265859,0.992501359175853,1,NC
AKAP10,0.0367972491200903,0.780815443572886,0.992501359175853,1,NC
AKAP11,-0.0132642895080883,0.92671324825482,0.995847408203142,1,NC
AKAP12,-0.10737840966605,0.342672363019286,0.992501359175853,1,NC
AKAP13,-0.116788550467514,0.339986307153745,0.992501359175853,1,NC
AKAP5,0.184677878026886,0.119590398055698,0.992501359175853,1,NC
AKAP6,-0.0795624902819033,0.297451902207485,0.992501359175853,1,NC
AKAP7,0.27429945342692,0.544730301703885,0.992501359175853,1,NC
AKAP8,0.0161695226725531,0.956128391744079,0.998524143330017,1,NC
AKAP9,-0.22456061208191,0.584662971868692,0.992501359175853,1,NC
AKIP1,0.0439936315260734,0.880572435231322,0.992501359175853,1,NC
AKIRIN1,-0.208484807221607,0.135042437415174,0.992501359175853,1,NC
AKIRIN2,-0.153536983804127,0.272937827275735,0.992501359175853,1,NC
AKR1B1,0.371472141078503,0.190038583220269,0.992501359175853,1,NC
AKT1,0.0850282479168897,0.427149260296576,0.992501359175853,1,NC
AKT1S1,-0.10503275705788,0.702575189825692,0.992501359175853,1,NC
AKT2,-0.124212137998674,0.647928331169228,0.992501359175853,1,NC
ALAD,-0.440046621236504,0.257533875936015,0.992501359175853,1,NC
ALCAM,-0.000369523185196563,0.997395268625643,0.998704752106707,1,NC
ALDH16A1,-0.903656795211088,0.126909684126498,0.992501359175853,1,NC
ALDH18A1,-0.139597825722796,0.25179897416272,0.992501359175853,1,NC
ALDH1L2,-0.344934934332713,0.250816736655978,0.992501359175853,1,NC
ALDH3A2,0.052909458415275,0.817870190100433,0.992501359175853,1,NC
ALDH5A1,0.0817134707942315,0.698567825281221,0.992501359175853,1,NC
ALDH6A1,0.483795982453352,0.148681833560625,0.992501359175853,1,NC
