gene_symbol,RED,pvalue,p_adj,padj,APAreg
AADAT,-0.244830508514473,0.466691809427554,0.83677633103073,0.917970255895211,NC
AAED1,-0.475641952295572,0.332480566588408,0.795001584535477,0.856563359114723,NC
AAGAB,-0.328717038284276,0.230693310943421,0.763127973966591,0.844370594743334,NC
AAK1,-0.996154555009346,0.00448001524133196,0.498470077692847,0.0933771273727253,DN
AARS,0.0544117428532385,0.856295350023936,0.957999548628839,1,NC
AASDHPPT,-0.070436189186383,0.667191914937985,0.895569752258913,0.94707624771339,NC
AASS,-0.400956442554275,0.308781271275015,0.789393856272277,0.894070305791239,NC
ABAT,0.428756759964229,0.0814056547181295,0.725842383062496,0.762360752472964,NC
ABCA3,0.439632250437906,0.0124693881161011,0.62605739201783,0.558360670216395,NC
ABCA5,-0.0783615718660151,0.891314387441858,0.967224641003267,0.991044088912008,NC
ABCC1,0.121495168847376,0.675588076252266,0.900220265852418,0.941089541521217,NC
ABCC4,0.0423624051081953,0.909945804589238,0.974132466216964,0.971304472557629,NC
ABCC5,0.515535295959721,0.139472088443554,0.738346912667934,0.798833298413997,NC
ABCD3,0.258005735634943,0.387604309658682,0.813013819018683,0.870339000050996,NC
ABCE1,0.341921805061939,0.265778659970025,0.773118068118475,0.856323143729634,NC
ABCF1,0.0559190443086635,0.796227401460261,0.939375355923633,0.966580979174531,NC
ABCF3,-0.0720151007277869,0.938465625271903,0.981626190585115,0.931743839261608,NC
ABCG1,0.211604481696981,0.276878775116697,0.776087007582496,0.898934980281883,NC
ABCG4,0.23286544703474,0.383220814459735,0.812988200865685,0.915668115294962,NC
ABHD10,0.292699323264426,0.340123382390658,0.799202446828177,0.8839529998809,NC
ABHD12,-0.132473786680762,0.682237168434804,0.903062887524069,0.922558174294204,NC
ABHD13,-0.532167704641223,0.221223049348293,0.759580044278462,0.819184234033478,NC
ABHD15,0.155336396771986,0.638646840994401,0.893834739909227,0.893979672811311,NC
ABHD17A,-0.708294497180432,0.146545021898291,0.738408351445407,0.799669198507697,NC
ABHD17C,0.450057784830653,0.188964457902573,0.742695262191925,0.849938405798809,NC
ABHD18,0.0604944638513423,0.866169036690806,0.961087142393081,0.963698139110664,NC
ABHD2,0.466365453343004,0.227942643344832,0.763127973966591,0.861160509576095,NC
ABI2,0.187779446912482,0.529117579676113,0.855655958382337,0.896283771341507,NC
ABL1,-0.212478602596472,0.60798334847841,0.881429410589927,0.922558174294204,NC
ABLIM1,0.373706242179256,0.321153271779719,0.791657321170245,0.874736971215152,NC
ABLIM2,0.149898017425294,0.692972031362986,0.907256371688514,0.921197618486415,NC
ABRACL,-0.0221563179825497,0.952489936937883,0.987387565205039,1,NC
ABRAXAS2,-0.132506791914785,0.666752259016345,0.895569752258913,0.940650503029848,NC
