Sample,replicate,variable,value
Control,1,SFPQ_long_short,0.206194853576576
Control,2,SFPQ_long_short,0.213194724620285
Control,3,SFPQ_long_short,0.191872689766137
Control,4,SFPQ_long_short,0.202716244818439
TDP43 KD,1,SFPQ_long_short,0.374650977313566
TDP43 KD,2,SFPQ_long_short,0.370911307441436
TDP43 KD,3,SFPQ_long_short,0.373099893899462
TDP43 KD,4,SFPQ_long_short,0.435390447456086
Control,1,NEFL_long_short,0.542704377221003
Control,2,NEFL_long_short,0.571887324643629
Control,3,NEFL_long_short,0.583278828844489
Control,4,NEFL_long_short,0.630997727696278
TDP43 KD,1,NEFL_long_short,0.667638499271592
TDP43 KD,2,NEFL_long_short,0.671810605086392
TDP43 KD,3,NEFL_long_short,0.677666906478258
TDP43 KD,4,NEFL_long_short,0.704340387197405
Control,1,ELP1_long_short,0.351578686795218
Control,2,ELP1_long_short,0.300035982561348
Control,3,ELP1_long_short,0.318343385830024
Control,4,ELP1_long_short,0.32484402288069
TDP43 KD,1,ELP1_long_short,0.491520888779016
TDP43 KD,2,ELP1_long_short,0.530231010999944
TDP43 KD,3,ELP1_long_short,0.484792594146233
TDP43 KD,4,ELP1_long_short,0.458357774727801
