Sample,group,ratio,normalized_ratio
DMSO_1,DMSO,4.02469135802469,1.09437460495821
DMSO_2,DMSO,3.33054393305439,0.905625395041787
1uM_1,1uM,0.155585106382979,0.0423059494974097
1uM_2,1uM,0.162460567823344,0.0441754917127904
0.5uM_1,0.5uM,0.122733612273361,0.0333731301355432
0.5uM_2,0.5uM,0.101721439749609,0.0276596018275536
0.1uM_1,0.1uM,0.219463753723933,0.0596755222746205
0.1uM_2,0.1uM,0.261343012704174,0.0710631277890317
0.05uM_1,0.05uM,0.50354609929078,0.136921819456004
0.05uM_2,0.05uM,0.389249304911955,0.105842788029926
0.01uM_1,0.01uM,0.899905571293673,0.244697969726445
0.01uM_2,0.01uM,0.84070796460177,0.228601242878372
