cluster_ID,gene_id,PAS_cluster_ID,PAS_ID,delta_usage,usage_direction,padj,lc_gene_padj,chr,PAS,strand,updated_polyA_site
ENSG00000000419.14@chr20:50934851:50934877:-,ENSG00000000419.14,chr20:50934851:50934877:-,chr20:50934872:-,0.00313145292234507,up,0.230560031840062,0.498977376453901,chr20,50934872,-,50934870
ENSG00000000419.14@chr20:50934941:50934959:-,ENSG00000000419.14,chr20:50934941:50934959:-,chr20:50934945:-,-0.00313145292234501,down,0.230560031840062,0.498977376453901,chr20,50934945,-,50934945
ENSG00000000457.14@chr1:169849622:169849685:-,ENSG00000000457.14,chr1:169849622:169849685:-,chr1:169849631:-,0.192683025080753,up,5.55863126304511e-05,0.0212089377551694,chr1,169849631,-,169849631
ENSG00000000457.14@chr1:169853078:169853094:-,ENSG00000000457.14,chr1:169853078:169853094:-,chr1:169853090:-,-0.192683025080753,down,5.55863126304511e-05,0.0212089377551694,chr1,169853090,-,169853089
ENSG00000001036.14@chr6:143493951:143493962:-,ENSG00000001036.14,chr6:143493951:143493962:-,chr6:143493954:-,0.239089445271173,up,5.30303015674825e-21,0.00323789945107426,chr6,143493954,-,143493954
ENSG00000001036.14@chr6:143495476:143495491:-,ENSG00000001036.14,chr6:143495476:143495491:-,chr6:143495487:-,-0.239089445271173,down,4.82715363244207e-28,0.00323789945107426,chr6,143495487,-,143495487
ENSG00000001084.13@chr6:53497336:53497354:-,ENSG00000001084.13,chr6:53497336:53497354:-,chr6:53497343:-,0.170392580540838,up,9.55202698932505e-06,0.0206436513655852,chr6,53497343,-,53497341
ENSG00000001084.13@chr6:53497506:53497524:-,ENSG00000001084.13,chr6:53497506:53497524:-,chr6:53497523:-,-0.10990706689187,down,0.000654675523635214,0.0206436513655852,chr6,53497523,-,53497522
ENSG00000001084.13@chr6:53498141:53498144:-,ENSG00000001084.13,chr6:53498141:53498144:-,chr6:53498143:-,-0.0604855136489678,down,0.0473336113250386,0.0206436513655852,chr6,53498143,-,53498142
ENSG00000001167.15@chr6:41097942:41097951:+,ENSG00000001167.15,chr6:41097942:41097951:+,chr6:41097951:+,-0.139992614698284,down,3.91415061071663e-13,7.9279659007002e-05,chr6,41097951,+,41097951
ENSG00000001167.15@chr6:41098993:41099001:+,ENSG00000001167.15,chr6:41098993:41099001:+,chr6:41098996:+,-0.0927289027840372,down,2.35598465965466e-07,7.9279659007002e-05,chr6,41098996,+,41098997
ENSG00000001167.15@chr6:41099960:41100001:+,ENSG00000001167.15,chr6:41099960:41100001:+,chr6:41099978:+,-0.059793513449152,down,0.00464125179695579,7.9279659007002e-05,chr6,41099978,+,41099976
ENSG00000001167.15@chr6:41102397:41102406:+,ENSG00000001167.15,chr6:41102397:41102406:+,chr6:41102401:+,0.292515030931474,up,1.50471955346365e-19,7.9279659007002e-05,chr6,41102401,+,41102400
ENSG00000001497.18@chrX:65512579:65512583:-,ENSG00000001497.18,chrX:65512579:65512583:-,chrX:65512582:-,-0.087798936519937,down,0.12106369167193,0.00111459313860214,chrX,65512582,-,65512582
ENSG00000001497.18@chrX:65520422:65520435:-,ENSG00000001497.18,chrX:65520422:65520435:-,chrX:65520430:-,0.231496580801882,up,0.000132032521818364,0.00111459313860214,chrX,65520430,-,65520429
ENSG00000001497.18@chrX:65521316:65521319:-,ENSG00000001497.18,chrX:65521316:65521319:-,chrX:65521318:-,-0.143697644281946,down,1.24368184601824e-06,0.00111459313860214,chrX,65521318,-,65521316
ENSG00000001561.7@chr6:46146540:46146545:+,ENSG00000001561.7,chr6:46146540:46146545:+,chr6:46146545:+,-0.06129184824837,down,0.734771592969714,0.79134169370087,chr6,46146545,+,46146545
ENSG00000001561.7@chr6:46146590:46146598:+,ENSG00000001561.7,chr6:46146590:46146598:+,chr6:46146593:+,0.00587142326272699,up,0.515283012287519,0.79134169370087,chr6,46146593,+,46146594
ENSG00000001561.7@chr6:46146655:46146704:+,ENSG00000001561.7,chr6:46146655:46146704:+,chr6:46146685:+,0.055420424985642,up,0.330384728190306,0.79134169370087,chr6,46146685,+,46146685
ENSG00000001629.10@chr7:92400368:92400373:+,ENSG00000001629.10,chr7:92400368:92400373:+,chr7:92400371:+,-0.100662632799037,down,2.5706519399886e-12,0.000269834804485629,chr7,92400371,+,92400371
ENSG00000001629.10@chr7:92401374:92401388:+,ENSG00000001629.10,chr7:92401374:92401388:+,chr7:92401377:+,0.083409189299569,up,0.000774414342208426,0.000269834804485629,chr7,92401377,+,92401377
ENSG00000001629.10@chr7:92401764:92401774:+,ENSG00000001629.10,chr7:92401764:92401774:+,chr7:92401774:+,0.017253443499466,up,0.190996380958675,0.000269834804485629,chr7,92401774,+,92401775
ENSG00000002586.20@chrX:2741225:2741228:+,ENSG00000002586.20,chrX:2741225:2741228:+,chrX:2741228:+,-0.206221715184544,down,0.0247799058842063,0.0989821183119767,chrX,2741228,+,2741228
ENSG00000002586.20@chrX:2741305:2741311:+,ENSG00000002586.20,chrX:2741305:2741311:+,chrX:2741307:+,0.206221715184544,up,0.0247799058842063,0.0989821183119767,chrX,2741307,+,2741307
ENSG00000002746.15@chr7:43446674:43446682:+,ENSG00000002746.15,chr7:43446674:43446682:+,chr7:43446679:+,0.195336135528976,up,5.53278955699432e-23,0.000502421372014606,chr7,43446679,+,43446676
ENSG00000002746.15@chr7:43562175:43562183:+,ENSG00000002746.15,chr7:43562175:43562183:+,chr7:43562177:+,-0.106392924946468,down,1.16984996859889e-05,0.000502421372014606,chr7,43562177,+,43562179
