V1,PAS_ID,pred_narrow,pred,usage,sig,change
2,chr1:169849631:-,0.22572966,0.38708752,Increased,yes,longer
6,chr6:53497343:-,0.3573725,0.4008726,Increased,yes,longer
12,chr6:41102401:+,0.8021388,0.81874824,Increased,yes,longer
14,chrX:65520430:-,0.82748944,0.87899786,Increased,yes,longer
20,chr7:92401377:+,0.6332085,0.64519316,Increased,yes,longer
23,chrX:2741307:+,0.62367284,0.7077104,Increased,yes,longer
31,chr2:72129237:-,0.20542827,0.39001545,Increased,yes,longer
44,chr17:28404047:+,0.40665266,0.46247393,Increased,yes,longer
46,chr17:28347180:-,0.2537744,0.25589383,Increased,yes,longer
48,chr1:33007986:-,0.281068,0.29518422,Increased,yes,longer
55,chr12:21468910:-,0.4454265,0.71124613,Increased,yes,longer
61,chr7:96120220:-,0.42130882,0.46420136,Increased,yes,longer
67,chr17:47117946:-,0.24440078,0.30177757,Increased,yes,longer
70,chrX:11123074:+,0.35966596,0.3768175,Increased,yes,longer
80,chr16:57428189:-,0.5235464,0.5306065,Increased,yes,longer
83,chr19:2354801:+,0.19616619,0.19890456,Increased,yes,longer
90,chr16:3725066:-,0.19422163,0.22676389,Increased,yes,longer
99,chr6:82169988:-,0.13390696,0.1796906,Increased,yes,longer
118,chrX:120426148:-,0.58216375,0.74238557,Increased,yes,longer
121,chr16:19501703:-,0.2017936,0.2973738,Increased,yes,longer
148,chr7:38723983:-,0.56656235,0.687192,Increased,yes,longer
152,chrX:7898246:-,0.124880314,0.15464191,Increased,yes,longer
158,chr1:112523516:-,0.45336512,0.4920113,Increased,yes,longer
164,chr16:189102:-,0.015706964,0.08495545,Increased,yes,longer
166,chr3:50362801:-,0.17355546,0.28065577,Increased,yes,longer
172,chr6:15522021:+,0.66005605,0.6748693,Increased,yes,longer
176,chrX:18640185:+,0.37969932,0.40898386,Increased,yes,longer
178,chr7:88202887:+,0.7502727,0.7540801,Increased,yes,longer
179,chr17:50962175:-,0.5639149,0.57434356,Increased,yes,longer
184,chr22:50613974:+,0.3799335,0.40722337,Increased,yes,longer
189,chr3:169996462:+,0.30239573,0.3473227,Increased,yes,longer
192,chr8:56067254:-,0.7817728,0.79331505,Increased,yes,longer
197,chr7:157269116:+,0.4490087,0.58519405,Increased,yes,longer
199,chr14:77274958:-,0.6945005,0.6981904,Increased,yes,longer
212,chr1:231355032:+,0.28585383,0.3562823,Increased,yes,longer
214,chr1:171797712:+,0.49393517,0.50555134,Increased,yes,longer
223,chr17:32381884:+,0.68347526,0.8028544,Increased,yes,longer
225,chr7:38230668:+,0.56655526,0.5848937,Increased,yes,longer
