gene_id,gene_name,gene_type,seqnames,strand,lc_gene_padj,PAS_ID_down,PAS_ID_up,PAS_cluster_ID_down,PAS_cluster_ID_up,Feature_down,Feature_up,Scramble-7d_usage_down,Scramble-7d_usage_up,TDP43KD-7d_usage_down,TDP43KD-7d_usage_up,delta_usage_down,delta_usage_up,APA_log2FC_down,APA_log2FC_up,fisher_PAS_padj_down,fisher_PAS_padj_up,polyA_site_up,polyA_site_down,APA_direction,fisher_APA_sig,leafcutter_APA_sig,delta_usage_plotting,APA_log2FC_plotting,lc_label,fisher_padj,fisher_label,NegLog10FisherPadj
ENSG00000000419,DPM1,protein_coding,chr20,-,0.498977376453901,chr20:50934945:-,chr20:50934872:-,chr20:50934941:50934959:-,chr20:50934851:50934877:-,three_prime_utr,three_prime_utr,0.124661816892751,0.875338183107249,0.121530363970406,0.878469636029594,-0.00313145292234501,0.00313145292234507,-0.0339449491398897,0.00509382836901252,0.230560031840062,0.230560031840062,50934872,50934945,longer,no,no,0.00313145292234507,0.00509382836901252,no,0.230560031840062,no,0.637215976554538
ENSG00000000457,SCYL3,protein_coding,chr1,-,0.0212089377551694,chr1:169853090:-,chr1:169849631:-,chr1:169853078:169853094:-,chr1:169849622:169849685:-,three_prime_utr,three_prime_utr,0.679165151806782,0.320834848193218,0.486482126726029,0.513517873273971,-0.192683025080753,0.192683025080753,-0.473107970458778,0.662127585128887,5.55863126304511e-05,5.55863126304511e-05,169849631,169853090,longer,longer,longer,0.192683025080753,0.662127585128887,no,5.55863126304511e-05,no,4.25503213433277
ENSG00000001036,FUCA2,protein_coding,chr6,-,0.00323789945107426,chr6:143495487:-,chr6:143493954:-,chr6:143495476:143495491:-,chr6:143493951:143493962:-,three_prime_utr,3UTRext,0.483299863915554,0.516700136084446,0.244210418644381,0.755789581355619,-0.239089445271173,0.239089445271173,-0.956441729894431,0.539966200066672,4.82715363244207e-28,5.30303015674825e-21,143493954,143495487,longer,longer,longer,0.239089445271173,0.539966200066672,no,4.82715363244207e-28,no,27.3163088787947
ENSG00000001084,GCLC,protein_coding,chr6,-,0.0206436513655852,chr6:53497523:-,chr6:53497343:-,chr6:53497506:53497524:-,chr6:53497336:53497354:-,three_prime_utr,three_prime_utr,0.264946393762183,0.581247563352827,0.155039326870313,0.751640143893665,-0.10990706689187,0.170392580540838,-0.736340521949677,0.365347188182132,0.000654675523635214,9.55202698932505e-06,53497343,53497523,longer,longer,longer,0.170392580540838,0.365347188182132,no,9.55202698932505e-06,no,5.0199044591106
ENSG00000001167,NFYA,protein_coding,chr6,+,7.9279659007002e-05,chr6:41097951:+,chr6:41102401:+,chr6:41097942:41097951:+,chr6:41102397:41102406:+,three_prime_utr,three_prime_utr,0.147469890631936,0.506180419830384,0.00747727593365177,0.798695450761858,-0.139992614698284,0.292515030931474,-3.17152375715676,0.647721078731754,3.91415061071663e-13,1.50471955346365e-19,41102401,41097951,longer,longer,longer,0.292515030931474,0.647721078731754,no,1.50471955346365e-19,no,18.8225444354406
ENSG00000001497,LAS1L,protein_coding,chrX,-,0.00111459313860214,chrX:65521318:-,chrX:65520430:-,chrX:65521316:65521319:-,chrX:65520422:65520435:-,three_prime_utr,three_prime_utr,0.143697644281946,0.368151010732119,0,0.599647591534001,-0.143697644281946,0.231496580801882,-3.94202314795249,0.689013054786878,1.24368184601824e-06,0.000132032521818364,65520430,65521318,longer,longer,longer,0.231496580801882,0.689013054786878,no,1.24368184601824e-06,no,5.90529070500738
ENSG00000001561,ENPP4,protein_coding,chr6,+,0.79134169370087,chr6:46146545:+,chr6:46146685:+,chr6:46146540:46146545:+,chr6:46146655:46146704:+,three_prime_utr,three_prime_utr,0.227738927738928,0.464620564620565,0.166447079490558,0.520040989606207,-0.06129184824837,0.055420424985642,-0.430142600559813,0.159329320010148,0.734771592969714,0.330384728190306,46146685,46146545,longer,no,no,0.055420424985642,0.159329320010148,no,0.734771592969714,no,0.133847642315846
ENSG00000001629,ANKIB1,protein_coding,chr7,+,0.000269834804485629,chr7:92400371:+,chr7:92401377:+,chr7:92400368:92400373:+,chr7:92401374:92401388:+,three_prime_utr,three_prime_utr,0.13675163237986,0.744208944622026,0.0360889995808233,0.827618133921595,-0.100662632799037,0.083409189299569,-1.67088219349249,0.151328415696407,2.5706519399886e-12,0.000774414342208426,92401377,92400371,longer,longer,longer,0.083409189299569,0.151328415696407,no,2.5706519399886e-12,no,11.5899567217917
ENSG00000002586,CD99,protein_coding,chrX,+,0.0989821183119767,chrX:2741228:+,chrX:2741307:+,chrX:2741225:2741228:+,chrX:2741305:2741311:+,three_prime_utr,three_prime_utr,0.481474240437069,0.518525759562931,0.275252525252525,0.724747474747475,-0.206221715184544,0.206221715184544,-0.784876144492384,0.475274707347022,0.0247799058842063,0.0247799058842063,2741307,2741228,longer,longer,no,0.206221715184544,0.475274707347022,no,0.0247799058842063,no,1.60590034743726
ENSG00000002746,HECW1,protein_coding,chr7,+,0.000502421372014606,chr7:43562177:+,chr7:43446679:+,chr7:43562175:43562183:+,chr7:43446674:43446682:+,three_prime_utr,intron,0.273323540932237,0.0243478260869565,0.166930615985769,0.219683961615933,-0.106392924946468,0.195336135528976,-0.679266765222495,2.74135942241303,1.16984996859889e-05,5.53278955699432e-23,43446679,43562177,shorter,shorter,shorter,-0.195336135528976,-2.74135942241303,no,5.53278955699432e-23,no,22.2570558481257
ENSG00000002919,SNX11,protein_coding,chr17,+,0.0195485096678863,chr17:48123071:+,chr17:48122743:+,chr17:48123064:48123077:+,chr17:48122737:48122756:+,three_prime_utr,three_prime_utr,0.0727901077996195,0.92720989220038,0.0297260314501694,0.970273968549831,-0.0430640763494501,0.043064076349451,-1.05937371886015,0.0648128304692043,0.00955227575039723,0.00955227575039723,48122743,48123071,shorter,no,no,-0.043064076349451,-0.0648128304692043,no,0.00955227575039723,no,2.01989314903429
ENSG00000003056,M6PR,protein_coding,chr12,-,0.420963274481833,chr12:8941416:-,chr12:8940363:-,chr12:8941415:8941419:-,chr12:8940358:8940379:-,three_prime_utr,three_prime_utr,0.17266854592436,0.82733145407564,0.0857671369035005,0.914232863096499,-0.0869014090208595,0.086901409020859,-0.931625658597322,0.14245756805689,0.428300213996145,0.428300213996145,8940363,8941416,longer,no,no,0.086901409020859,0.14245756805689,no,0.428300213996145,no,0.368251708612252
ENSG00000003137,CYP26B1,protein_coding,chr2,-,0.0206695041812691,chr2:72129306:-,chr2:72129237:-,chr2:72129282:72129311:-,chr2:72129229:72129238:-,three_prime_utr,three_prime_utr,0.518391461787688,0.481608538212312,0.325423559647678,0.674576440352322,-0.19296790214001,0.19296790214001,-0.655623129245553,0.477701670434489,0.00480985051353227,0.00480985051353227,72129237,72129306,longer,longer,longer,0.19296790214001,0.477701670434489,no,0.00480985051353227,no,2.31786842095608
ENSG00000003393,ALS2,protein_coding,chr2,-,0.105172428124328,chr2:201700553:-,chr2:201759454:-,chr2:201700551:201700556:-,chr2:201759453:201759459:-,three_prime_utr,three_prime_utr,0.914558488162247,0.0854415118377528,0.913153633868698,0.0868463661313019,-0.00140485429354908,0.0014048542935491,-0.0021938230407872,0.0210810208786764,8.88750833769257e-09,0.946327706420495,201759454,201700553,shorter,no,no,-0.0014048542935491,-0.0210810208786764,no,0.946327706420495,no,0.0239584445232816
ENSG00000003402,CFLAR,protein_coding,chr2,+,0.537528971050739,chr2:201141596:+,chr2:201119178:+,chr2:201141589:201141603:+,chr2:201119174:201119182:+,three_prime_utr,exon,0.655001792443218,0.125145946070964,0.633369188709373,0.167588377276593,-0.021632603733845,0.042442431205629,-0.0477113830369297,0.394018927461072,0.267768695708128,0.0154298001760583,201119178,201141596,shorter,no,no,-0.042442431205629,-0.394018927461072,no,0.267768695708128,no,0.572240196838152
ENSG00000003987,MTMR7,protein_coding,chr8,-,0.179018889279783,chr8:17298335:-,chr8:17296799:-,chr8:17298318:17298336:-,chr8:17296772:17296804:-,three_prime_utr,three_prime_utr,0.0865958278852618,0.477157113149983,0.0688544616580599,0.542145593869732,-0.0177413662272019,0.0649884807197491,-0.292768491963772,0.180661606505772,0.0707344369719547,0.00456210220279157,17296799,17298335,longer,no,no,0.0649884807197491,0.180661606505772,no,0.0707344369719547,no,1.15036909899377
ENSG00000004139,SARM1,protein_coding,chr17,+,0.0163460804653943,chr17:28398163:+,chr17:28404047:+,chr17:28398153:28398171:+,chr17:28404038:28404047:+,three_prime_utr,three_prime_utr,0.847241076630875,0.152758923369125,0.554504504504505,0.445495495495496,-0.29273657212637,0.292736572126371,-0.602715888509227,1.48470014463952,2.05962925429492e-09,2.05962925429492e-09,28404047,28398163,longer,longer,longer,0.292736572126371,1.48470014463952,no,2.05962925429492e-09,no,8.68621094822535
ENSG00000004142,POLDIP2,protein_coding,chr17,-,0.000128622178384845,chr17:28347791:-,chr17:28347180:-,chr17:28347767:28347794:-,chr17:28347176:28347193:-,three_prime_utr,three_prime_utr,0.238369229821912,0.687168985358138,0.12932152608739,0.818811533321471,-0.109047703734522,0.131642547963333,-0.834068269815703,0.249535688609286,4.49020234883676e-13,8.72281613076722e-18,28347180,28347791,longer,longer,longer,0.131642547963333,0.249535688609286,no,8.72281613076722e-18,no,17.0593432819704
ENSG00000004455,AK2,protein_coding,chr1,-,8.72030788109222e-06,chr1:33013044:-,chr1:33007986:-,chr1:33013037:33013065:-,chr1:33007979:33008003:-,three_prime_utr,three_prime_utr,0.588367157447937,0.0297425240600728,0.403787878787879,0.129034391534392,-0.184579278660058,0.0992918674743192,-0.532139607739353,1.80668638538563,3.02054295455641e-17,1.35886859682195e-17,33007986,33013044,longer,longer,longer,0.0992918674743192,1.80668638538563,no,1.35886859682195e-17,no,16.8668225377004
ENSG00000004534,RBM6,protein_coding,chr3,+,0.000781576194464358,chr3:50077248:+,chr3:50083069:+,chr3:50077239:50077253:+,chr3:50083067:50083069:+,three_prime_utr,intron,0.990498068413613,0.00950193158638727,0.92275285214626,0.0772471478537396,-0.067745216267353,0.0677452162673523,-0.101151610348483,2.16149094569831,1.37321696980207e-23,7.70561941062775e-18,50083069,50077248,longer,longer,longer,0.0677452162673523,2.16149094569831,no,1.37321696980207e-23,no,22.8622608383326
ENSG00000004700,RECQL,protein_coding,chr12,-,0.136321717229192,chr12:21470149:-,chr12:21468910:-,chr12:21470145:21470153:-,chr12:21468907:21468916:-,three_prime_utr,three_prime_utr,0.323741765480896,0.676258234519104,0.19125887519933,0.80874112480067,-0.132482890281566,0.132482890281566,-0.729679835946911,0.254655807384245,0.0267653826567972,0.0267653826567972,21468910,21470149,longer,longer,no,0.132482890281566,0.254655807384245,no,0.0267653826567972,no,1.5724265432558
ENSG00000004766,VPS50,protein_coding,chr7,+,8.66791657544294e-05,chr7:93359025:+,chr7:93360932:+,chr7:93359012:93359029:+,chr7:93360905:93360940:+,three_prime_utr,three_prime_utr,0.757542737788786,0.042574094195138,0.642562754809483,0.0859741748316513,-0.114979982979303,0.0434000806365133,-0.23413043629467,0.8682941622789,4.37132453282253e-11,0.00328225122873597,93360932,93359025,longer,no,longer,0.0434000806365133,0.8682941622789,no,0.00328225122873597,no,2.48382818041943
ENSG00000004864,SLC25A13,protein_coding,chr7,-,0.00879627863092793,chr7:96120414:-,chr7:96120220:-,chr7:96120412:96120421:-,chr7:96120215:96120227:-,three_prime_utr,three_prime_utr,0.277599635429613,0.722400364570387,0.153800436445673,0.846199563554327,-0.12379919898394,0.12379919898394,-0.812122645932758,0.225314590852135,7.99755209169547e-06,7.99755209169547e-06,96120220,96120414,longer,longer,longer,0.12379919898394,0.225314590852135,no,7.99755209169547e-06,no,5.09704292247709
ENSG00000004866,ST7,protein_coding,chr7,+,0.201829205167975,chr7:117230174:+,chr7:117230101:+,chr7:117230167:117230176:+,chr7:117230073:117230105:+,three_prime_utr,three_prime_utr,0.326735158289271,0.597478569370493,0.226593870135059,0.709003134435585,-0.100141288154212,0.111524565065092,-0.509201664185126,0.243164545770558,0.0287751125381732,0.0280354190609677,117230101,117230174,shorter,shorter,no,-0.111524565065092,-0.243164545770558,no,0.0280354190609677,no,1.55229294787633
ENSG00000004897,CDC27,protein_coding,chr17,-,0.000333423729692648,chr17:47120436:-,chr17:47117946:-,chr17:47120434:47120445:-,chr17:47117934:47117947:-,three_prime_utr,three_prime_utr,0.320640012825498,0.619823751731101,0.144464410502146,0.767719876210442,-0.176175602323352,0.147896124479341,-1.09798685369097,0.304302445259446,1.04402054085147e-16,2.62455503690071e-08,47117946,47120436,longer,longer,longer,0.147896124479341,0.304302445259446,no,1.04402054085147e-16,no,15.9812909566109
ENSG00000004961,HCCS,protein_coding,chrX,+,0.00360832367552469,chrX:11121877:+,chrX:11123074:+,chrX:11121861:11121882:+,chrX:11123068:11123109:+,three_prime_utr,three_prime_utr,0.162715468171485,0.837284531828515,0.083724191844719,0.916275808155281,-0.078991276326766,0.078991276326766,-0.881903908776469,0.128595303534115,2.01596866534544e-07,2.01596866534544e-07,11123074,11121877,longer,longer,longer,0.078991276326766,0.128595303534115,no,2.01596866534544e-07,no,6.6955162225109
ENSG00000005020,SKAP2,protein_coding,chr7,-,0.000297549513951867,chr7:26667070:-,chr7:26665950:-,chr7:26667046:26667072:-,chr7:26665949:26665957:-,three_prime_utr,3UTRext,1,0,0.901245892826943,0.0987541071730569,-0.098754107173057,0.0987541071730569,-0.148442980934109,3.4429979812401,6.97105912350116e-09,6.97105912350116e-09,26665950,26667070,longer,longer,longer,0.0987541071730569,3.4429979812401,no,6.97105912350116e-09,no,8.15670123387497
ENSG00000005022,SLC25A5,protein_coding,chrX,+,0.000106310172631807,chrX:119471316:+,chrX:119472949:+,chrX:119471309:119471334:+,chrX:119472942:119472952:+,three_prime_utr,3UTRext,0.994795142944599,0.00520485705540141,0.907923911390784,0.0920760886092165,-0.0868712315538151,0.0868712315538151,-0.130454919813997,2.74704079511725,8.60751113799387e-40,8.60751113799387e-40,119472949,119471316,longer,longer,longer,0.0868712315538151,2.74704079511725,no,8.60751113799387e-40,no,39.0651224066522
ENSG00000005156,LIG3,protein_coding,chr17,+,0.0492870631847969,chr17:35005064:+,chr17:35004804:+,chr17:35005056:35005067:+,chr17:35004799:35004804:+,three_prime_utr,three_prime_utr,0.284780578898226,0.715219421101774,0.183263764659114,0.816736235340887,-0.101516814239112,0.101516814239113,-0.609070308490644,0.189009560188183,0.0455493239296131,0.0455493239296131,35004804,35005064,shorter,shorter,shorter,-0.101516814239113,-0.189009560188183,no,0.0455493239296131,no,1.34151806470234
ENSG00000005175,RPAP3,protein_coding,chr12,-,0.0761580037986087,chr12:47661938:-,chr12:47662252:-,chr12:47661931:47661943:-,chr12:47662244:47662257:-,three_prime_utr,three_prime_utr,0.306654413873701,0.0689190359586479,0.238560047928461,0.129605280413245,-0.06809436594524,0.0606862444545971,-0.349314764640001,0.822908272969159,0.160729216757097,0.0199673858735661,47662252,47661938,shorter,no,no,-0.0606862444545971,-0.822908272969159,no,0.160729216757097,no,0.793905171630767
ENSG00000005194,CIAPIN1,protein_coding,chr16,-,0.00978623006827086,chr16:57428552:-,chr16:57428189:-,chr16:57428542:57428555:-,chr16:57428167:57428195:-,three_prime_utr,three_prime_utr,0.504517465316641,0.495482534683359,0.187050335890662,0.812949664109338,-0.317467129425979,0.317467129425979,-1.38465584160729,0.70314294527631,9.49793170771388e-59,9.49793170771388e-59,57428189,57428552,longer,longer,longer,0.317467129425979,0.70314294527631,no,9.49793170771388e-59,no,58.0223709574187
ENSG00000005206,SPPL2B,protein_coding,chr19,+,0.126917835122254,chr19:2353928:+,chr19:2354801:+,chr19:2353924:2353936:+,chr19:2354794:2354808:+,three_prime_utr,three_prime_utr,0.328976176355292,0.671023823644708,0.187669482259034,0.812330517740966,-0.141306694096258,0.141306694096258,-0.778093728759761,0.272013102518133,3.09837507747957e-15,3.09837507747957e-15,2354801,2353928,longer,longer,no,0.141306694096258,0.272013102518133,no,3.09837507747957e-15,no,14.5088660093594
ENSG00000005249,PRKAR2B,protein_coding,chr7,+,0.00182194379399707,chr7:107161421:+,chr7:107161809:+,chr7:107161414:107161440:+,chr7:107161792:107161817:+,three_prime_utr,three_prime_utr,0.166297724459678,0.544904789107874,0.0813000493922695,0.598042163190894,-0.0849976750674085,0.05313737408302,-0.949326307572959,0.13193111305517,3.30309512819071e-07,0.0659069333777828,107161809,107161421,longer,no,longer,0.05313737408302,0.13193111305517,no,0.0659069333777828,no,1.18106889543146
ENSG00000005302,MSL3,protein_coding,chrX,+,0.0280207375186298,chrX:11767977:+,chrX:11775751:+,chrX:11767974:11767977:+,chrX:11775746:11775760:+,three_prime_utr,three_prime_utr,0.275702533434492,0.326758007170378,0.156175824127565,0.383980975844329,-0.119526709306927,0.057222968673951,-0.781803320490729,0.22641371858393,0.000314760762290267,0.156738312054888,11775751,11767977,longer,no,longer,0.057222968673951,0.22641371858393,no,0.156738312054888,no,0.804824834543949
