V1,PAS_ID,original_PAS_pred_narrow,original_PAS_pred,usage,sig
1,chr20:50934945:-,0.0834688,0.6195019,Decreased,yes
2,chr1:169849631:-,0.22572966,0.38708752,Increased,yes
4,chr6:143493954:-,0.53812003,0.54642564,Increased,yes
6,chr6:53497343:-,0.3573725,0.4008726,Increased,yes
12,chr6:41102401:+,0.8021388,0.81874824,Increased,yes
14,chrX:65520430:-,0.82748944,0.87899786,Increased,yes
16,chr6:46146545:+,0.50784886,0.76516455,Decreased,yes
20,chr7:92401377:+,0.6332085,0.64519316,Increased,yes
23,chrX:2741307:+,0.62367284,0.7077104,Increased,yes
24,chr7:43446679:+,0.09168072,0.32798165,Increased,yes
28,chr17:48123071:+,0.15867911,0.18668647,Decreased,yes
30,chr12:8941416:-,0.15615611,0.19203018,Decreased,yes
31,chr2:72129237:-,0.20542827,0.39001545,Increased,yes
33,chr2:201700553:-,0.60161865,0.6522976,Decreased,yes
36,chr2:201141596:+,0.6559976,0.6719881,Decreased,yes
42,chr8:17298335:-,0.13313247,0.23014754,Decreased,yes
44,chr17:28404047:+,0.40665266,0.46247393,Increased,yes
46,chr17:28347180:-,0.2537744,0.25589383,Increased,yes
48,chr1:33007986:-,0.281068,0.29518422,Increased,yes
54,chr3:50083069:+,0.63513255,0.669463,Increased,yes
55,chr12:21468910:-,0.4454265,0.71124613,Increased,yes
57,chr7:93359025:+,0.56910723,0.5733779,Decreased,yes
61,chr7:96120220:-,0.42130882,0.46420136,Increased,yes
64,chr7:117230101:+,0.39770502,0.6603144,Increased,yes
67,chr17:47117946:-,0.24440078,0.30177757,Increased,yes
70,chrX:11123074:+,0.35966596,0.3768175,Increased,yes
71,chr7:26665950:-,0.48876145,0.52216125,Increased,yes
74,chrX:119472949:+,0.6986309,0.7025567,Increased,yes
75,chr17:35004804:+,0.18118678,0.23529527,Increased,yes
77,chr12:47661938:-,0.36799654,0.38114852,Decreased,yes
80,chr16:57428189:-,0.5235464,0.5306065,Increased,yes
83,chr19:2354801:+,0.19616619,0.19890456,Increased,yes
84,chr7:107161421:+,0.35238293,0.7702067,Decreased,yes
